RobotJoint 1.491726,-1.492580,2.484969,4.462960,-0.453627,-2.463471
RobotJoint 1.543253,-1.544289,2.534190,4.513937,-0.504035,-2.512689
RobotJoint 1.593781,-1.594045,2.584009,4.563375,-0.553905,-2.563227
RobotJoint 1.642766,-1.642712,2.633556,4.612593,-0.604097,-2.612336
RobotJoint 1.693748,-1.693330,2.684736,4.662362,-0.653859,-2.662653
RobotJoint 1.742823,-1.743858,2.729986,4.712349,-0.703189,-2.713080
RobotJoint 1.793532,-1.792298,2.782090,4.762777,-0.753274,-2.763178
RobotJoint 1.842517,-1.844006,2.832833,4.811666,-0.803682,-2.813166
RobotJoint 1.894044,-1.893263,2.884121,4.862313,-0.854090,-2.864252
RobotJoint 1.943028,-1.943610,2.932363,4.913179,-0.903852,-2.912921
RobotJoint 1.994010,-1.994138,2.985119,4.962947,-0.953936,-2.963458
